LLM,ASR,ASR_key,Dataset,Dataset_key,Experiment,Language,Samples,Baseline WER,Corrected WER,WER Change (%),Improved,Degraded,Unchanged
DeepSeek V3,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.1425459447523319,25.10761524305843,19,3,8
DeepSeek V3,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.202550410539541,3.3688250299351874,4,1,25
DeepSeek V3,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.13512447504987807,0.11858606462988866,12.2393892104925,7,2,21
DeepSeek V3,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.19008731057172973,25.972865571130587,13,0,17
DeepSeek V3,Whisper base,whisper_base,LibriSpeech test-clean,librispeech_test_clean,Whisper base / LibriSpeech test-clean,en,30,0.04613667378359555,0.04613667378359555,0.0,0,0,30
DeepSeek V3,Whisper base,whisper_base,LibriSpeech test-other,librispeech_test_other,Whisper base / LibriSpeech test-other,en,30,0.10043669829660051,0.1141119119718142,-13.61575390982018,1,3,26
DeepSeek V3,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.38335569623613097,0.3426751871317088,10.61168765818069,8,3,19
GPT-OSS 120B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.19327745111910205,-1.5462716894719846,9,4,17
GPT-OSS 120B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.21359334908247948,-1.8994542279735356,2,3,25
GPT-OSS 120B,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.13512447504987807,0.12073205460482601,10.651231347792045,5,3,22
GPT-OSS 120B,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.23985310437171387,6.5921973060564065,7,2,21
GPT-OSS 120B,Whisper base,whisper_base,LibriSpeech test-clean,librispeech_test_clean,Whisper base / LibriSpeech test-clean,en,30,0.04613667378359555,0.06280334045026222,-36.12455190168628,0,2,28
GPT-OSS 120B,Whisper base,whisper_base,LibriSpeech test-other,librispeech_test_other,Whisper base / LibriSpeech test-other,en,30,0.10043669829660051,0.10969595755585979,-9.219000043107423,0,2,28
GPT-OSS 120B,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.38335569623613097,0.38262309550353024,0.19110208607660256,3,2,25
Llama 3.3 70B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.12401602991394685,34.84306940838635,19,2,9
Llama 3.3 70B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.28926998725911773,-38.00267636074457,5,3,22
Llama 3.3 70B,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.13512447504987807,0.15583467858902897,-15.32675966475075,3,6,21
Llama 3.3 70B,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.20381039295142805,20.628582141348282,11,0,19
