LLM,ASR,ASR_key,Dataset,Dataset_key,Experiment,Language,Samples,Baseline WER,Corrected WER,WER Change (%),Improved,Degraded,Unchanged
DeepSeek V3,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.1498428755598294,21.273872020623173,21,2,7
DeepSeek V3,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.19485774893383592,7.0387802160357555,7,3,20
DeepSeek V3,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.1373466972721003,0.11812718942643144,13.993425562751401,11,6,13
DeepSeek V3,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.1639252403631021,36.16135780896873,23,1,6
DeepSeek V3,Whisper base,whisper_base,LibriSpeech test-clean,librispeech_test_clean,Whisper base / LibriSpeech test-clean,en,30,0.04613667378359555,0.06025346385626797,-30.597762939927875,1,6,23
DeepSeek V3,Whisper base,whisper_base,LibriSpeech test-other,librispeech_test_other,Whisper base / LibriSpeech test-other,en,30,0.10043669829660051,0.11163216357621727,-11.146787448702598,5,6,19
DeepSeek V3,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.43817051105094584,0.4014292571357788,8.385149842020095,11,6,13
GPT-OSS 120B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.1606794860037221,15.58041227166159,10,4,16
GPT-OSS 120B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.22706557130470173,-8.32667725518638,3,4,23
GPT-OSS 120B,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.1373466972721003,0.13547096125843322,1.3656942983863865,5,5,20
GPT-OSS 120B,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.25056034005749644,2.4223977908282914,11,4,15
GPT-OSS 120B,Whisper base,whisper_base,LibriSpeech test-clean,librispeech_test_clean,Whisper base / LibriSpeech test-clean,en,30,0.04613667378359555,0.08459881869856549,-83.36566501386065,1,12,17
GPT-OSS 120B,Whisper base,whisper_base,LibriSpeech test-other,librispeech_test_other,Whisper base / LibriSpeech test-other,en,30,0.10043669829660051,0.11187658738354846,-11.390148502457444,1,3,26
GPT-OSS 120B,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.43817051105094584,0.4791127169931517,-9.343898073835815,4,6,20
Llama 3.3 70B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.12675350423036855,33.40482449637636,19,1,10
Llama 3.3 70B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.25117474916387966,-19.828496372160433,5,3,22
Llama 3.3 70B,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.1373466972721003,0.16926499999255415,-23.23922114939528,10,10,10
Llama 3.3 70B,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.171713198994714,33.12843436544799,23,1,6
Llama 3.3 70B,Whisper base,whisper_base,LibriSpeech test-clean,librispeech_test_clean,Whisper base / LibriSpeech test-clean,en,30,0.04613667378359555,0.08405219326735756,-82.18086908823351,2,13,15
Llama 3.3 70B,Whisper base,whisper_base,LibriSpeech test-other,librispeech_test_other,Whisper base / LibriSpeech test-other,en,30,0.10043669829660051,0.14396079300778789,-43.33485215001391,3,13,14
Llama 3.3 70B,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.43817051105094584,1.8829537833342183,-329.73083214066145,9,6,15
Qwen2.5 72B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.13574713100263308,28.679652147495855,18,5,7
Qwen2.5 72B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.18932696731609774,9.677362506741822,8,4,18
Qwen2.5 72B,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.1373466972721003,0.1246571419636435,9.239068401708469,11,5,14
Qwen2.5 72B,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.1623254050674464,36.78439372935367,22,1,7
Qwen2.5 72B,Whisper base,whisper_base,LibriSpeech test-clean,librispeech_test_clean,Whisper base / LibriSpeech test-clean,en,30,0.04613667378359555,0.06838513873688654,-48.222949616280516,2,10,18
Qwen2.5 72B,Whisper base,whisper_base,LibriSpeech test-other,librispeech_test_other,Whisper base / LibriSpeech test-other,en,30,0.10043669829660051,0.11637994222947336,-15.87392278247808,6,7,17
Qwen2.5 72B,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.43817051105094584,0.42358616021659495,3.3284647110026935,12,6,12
Qwen2.5 7B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,FLEURS Russian,fleurs_ru,Wav2Vec2 XLS-R 1B / FLEURS Russian,ru,30,0.19033436472206836,0.1600631898553052,15.904208843718775,14,4,12
Qwen2.5 7B,Wav2Vec2 XLS-R 1B,wav2vec2_xlsr_1b_ru,SOVA audiobooks,sova_audiobooks_ru,Wav2Vec2 XLS-R 1B / SOVA audiobooks,ru,30,0.20961186760099804,0.2341641671532976,-11.71322016892457,3,7,20
Qwen2.5 7B,Whisper base,whisper_base,FLEURS English,fleurs_en,Whisper base / FLEURS English,en,30,0.1373466972721003,0.13881380233627486,-1.068176442035617,5,6,19
Qwen2.5 7B,Whisper base,whisper_base,FLEURS Russian,fleurs_ru,Whisper base / FLEURS Russian,ru,30,0.25678058733231024,0.24802491999397708,3.409785540759004,15,5,10
Qwen2.5 7B,Whisper base,whisper_base,LibriSpeech test-clean,librispeech_test_clean,Whisper base / LibriSpeech test-clean,en,30,0.04613667378359555,0.06833865169271451,-48.12219019788361,2,8,20
Qwen2.5 7B,Whisper base,whisper_base,LibriSpeech test-other,librispeech_test_other,Whisper base / LibriSpeech test-other,en,30,0.10043669829660051,0.12702540653435795,-26.473100658126064,2,11,17
Qwen2.5 7B,Whisper base,whisper_base,SOVA audiobooks,sova_audiobooks_ru,Whisper base / SOVA audiobooks,ru,30,0.43817051105094584,0.4227223018527366,3.5256158980568784,8,4,18
